Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long
1.50057582770e+12,user7,motorola-XT1096,7.59440755844,3.24653744698,3.84029960632,30.6190421,-96.3394014
1.50057582777e+12,user7,motorola-XT1096,7.61356163025,-0.421379506588,2.94007968903,30.6190421,-96.3394014
1.50057582782e+12,user7,motorola-XT1096,8.08282470703,-3.31357526779,2.91134929657,30.6190421,-96.3394014
1.50057582788e+12,user7,motorola-XT1096,3.18907666206,-2.57616114616,2.62404513359,30.6190421,-96.3394014
1.50057582795e+12,user7,motorola-XT1096,10.6589860916,-7.09641361237,4.07971954346,30.6190421,-96.3394014
1.50057582800e+12,user7,motorola-XT1096,7.88171195984,-4.09887313843,1.04387199879,30.6190421,-96.3394014
1.50057582807e+12,user7,motorola-XT1096,6.53138208389,-5.00866985321,3.03584766388,30.6190421,-96.3394014
1.50057582813e+12,user7,motorola-XT1096,6.88572406769,-4.1180267334,1.08217918873,30.6190421,-96.3394014
1.50057582819e+12,user7,motorola-XT1096,8.94473743439,-6.19619417191,0.861912608147,30.6190421,-96.3394014
1.50057582825e+12,user7,motorola-XT1096,8.45632076263,-8.45632076263,-1.30244576931,30.6190421,-96.3394014
1.50057582831e+12,user7,motorola-XT1096,8.61912631989,-5.92804336548,-1.25456166267,30.6190421,-96.3394014
1.50057582839e+12,user7,motorola-XT1096,6.79953289032,-5.92804336548,-0.871489405632,30.6190421,-96.3394014
1.50057582842e+12,user7,motorola-XT1096,-1.76213240623,-5.55454778671,0.679953277111,30.6190421,-96.3394014
1.50057582848e+12,user7,motorola-XT1096,-1.16837048531,-4.3382935524,-2.33674097061,30.6190421,-96.3394014
1.50057582854e+12,user7,motorola-XT1096,0.0957680642605,-13.4841442108,2.99754047394,30.6190421,-96.3394014
1.50057582864e+12,user7,motorola-XT1096,-0.517147541046,-11.7315883636,2.99754047394,30.6190421,-96.3394014
1.50057582866e+12,user7,motorola-XT1096,2.83473491669,-10.4578733444,2.03985977173,30.6190421,-96.3394014
1.50057582872e+12,user7,motorola-XT1096,1.5801731348,-8.91600704193,2.66235232353,30.6190421,-96.3394014
1.50057582879e+12,user7,motorola-XT1096,1.63763391972,-9.57680702209,2.83473491669,30.6190421,-96.3394014
1.50057582884e+12,user7,motorola-XT1096,-0.459686726332,-8.88727664948,1.77170920372,30.6190421,-96.3394014
1.5005758289e+12,user7,motorola-XT1096,-0.593762040138,-6.22492456436,0.80445176363,30.6190421,-96.3394014
1.50057582896e+12,user7,motorola-XT1096,-7.75721359253,6.54095888138,-0.478840351105,30.6190421,-96.3394014
1.50057582903e+12,user7,motorola-XT1096,3.68707060814,-2.8251581192,4.71178913116,30.6190421,-96.3394014
1.50057582908e+12,user7,motorola-XT1096,5.24809026718,-6.60799646378,4.71178913116,30.6190421,-96.3394014
1.50057582914e+12,user7,motorola-XT1096,2.61446833611,-11.7698955536,4.58729028702,30.6190421,-96.3394014
1.50057582923e+12,user7,motorola-XT1096,-0.0861912593246,-4.09887313843,1.39821374416,30.6190421,-96.3394014
1.50057582926e+12,user7,motorola-XT1096,2.07816696167,-9.9024181366,3.99352836609,30.6190421,-96.3394014
1.50057582931e+12,user7,motorola-XT1096,2.15478157997,-6.98149204254,2.135627985,30.6190421,-96.3394014
